"name","start"
"Opogado Doguado - indig",NA
"Yaco Molana - indig",NA
"El Silencio - indig",NA
"Puado, La Lerma, Matare Y Terdo - indig",NA
"Carrizal - indig",NA
"Awa De Canaveral - indig",NA
"Chimilas O Cacahueros (Issa Oristuna) - indig",NA
"Resguardo Indigena Gualeras - indig",NA
"Cocana - indig",NA
"Catio (Rio Tanela) - indig",NA
"Potrerito - indig",NA
"La Aguadita - indig",NA
"Sabanas De Curipao - indig",NA
"Piaroa De Cachicamo - indig",NA
"La Floresta La Espanola - indig",NA
"Minitas Miralindo - indig",NA
"Santa Rosa Sucumbios Y El Diviso - indig",NA
"Alta Y Media Guajira - indig",NA
"Santa Rosa De Ijua - indig",NA
"Bayoneros - indig",NA
"Las Palmas - indig",NA
"Yaigoje Rio Apaporis - indig",NA
"Almorzadero,San Isidro Y La Nueva Union - indig",NA
"Yunguillo - indig",NA
"Nuevo Pitalito - indig",NA
"Resguardo Rumiyaco - indig",NA
"Camentza Biya - indig",NA
"La Libertad 2 - indig",NA
"Venezuela O Panure - indig",NA
"Inga De San Miguel - indig",NA
"Nam Misak - indig",NA
"Tamirco - indig",NA
"Cabeceras O Puerto Pizario - indig",NA
"Caiman Nuevo - indig",NA
"Jagual Rio Chintado - indig",NA
"Valle De Perdidas - indig",NA
"Tres Esquinas - indig",NA
"El Refugio - indig",NA
"Barranco Ceiba Y Laguna Araguato - indig",NA
"Rincon De Anchique - indig",NA
"Zenu Del Volao - indig",NA
"Ambalo - indig",NA
"Guambia - indig",NA
"Carlosama - indig",NA
"Murindo (Rio Murindo) - indig",NA
"Lagos Del Dorado Lagos Del Palo Y El Remanso - indig",NA
"Buenavista(Choco) - indig",NA
"Yu Yik Kwe - indig",NA
"Majore Ambura - indig",NA
"La Esperanza - indig",NA
"Zaragoza Tamarindo - indig",NA
"Nasa We' Sx Kiwe La Gaitana - indig",NA
"Macarieros San Jose - indig",NA
"Burujon - indig",NA
"Rio Negua - indig",NA
"Mondo Mondocito - indig",NA
"Totarco Niple - indig",NA
"Comunidad Inga De Nineras - indig",NA
"Consara Mecaya - indig",NA
"El Gran Sabalo - indig",NA
"Choromando Alto y Medio - indig",NA
"Cristiania - indig",NA
"Saliva Asentada En El Paraje El Consejo - indig",NA
"Perratpu - indig",NA
"La Albania - indig",NA
"Rio Taparal - indig",NA
"Nasa De Cxhab Wala Luucx - indig",NA
"Chenche Socorro Los Guayabos - indig",NA
"Corocoro - indig",NA
"Novirao - indig",NA
"Lomas De Hilarco - indig",NA
"Balsillas Limon - indig",NA
"Guaguando - indig",NA
"Mercadillo - indig",NA
"Inkal Awa - indig",NA
"Agua Blanca - indig",NA
"Quebraditas - indig",NA
"Alto Rio Cuia - indig",NA
"Cuayquer Del Alto Albi - indig",NA
"Aico - indig",NA
"Cajaros - indig",NA
"La Maria - indig",NA
"Togorama - indig",NA
"La Laguna Siberia - indig",NA
"Santa Marta Palmar - indig",NA
"Rio Purricha - indig",NA
"Puinave De Cumaral - Guamuco - indig",NA
"Alto Rio Bojaya - indig",NA
"La Julia - indig",NA
"Getucha - indig",NA
"Kwes Kiwe Nasa - indig",NA
"San Miguel De La Castellana - indig",NA
"San Agustin La Floresta (De Narino) - indig",NA
"Jai Dukama - indig",NA
"Inga Kamsa De Mocoa - indig",NA
"Potrerito Doyare - indig",NA
"Cuchilla Palmar - indig",NA
"Valles Del Sol - indig",NA
"Quichaya - indig",NA
"Embera De Lanas - indig",NA
"Isla Del Mono - indig",NA
"Palmar Imbi - indig",NA
"Remanso  -  Chorro Bocon - indig",NA
"San Francisco - indig",NA
"San Jose Del Rio - indig",NA
"Paujil - indig",NA
"Resguardo Indigena Aco Viejo Patio Bonito - indig",NA
"Tama Paez La Gabriela - indig",NA
"Guayabero La Fuga Y Piratapuya Asentado En La Fuga - indig",NA
"Rumiyaco - indig",NA
"Wasiruma - indig",NA
"Inda Guacaray - indig",NA
"La Puria - indig",NA
"Puerto Libia Tripicay - indig",NA
"Waliani - indig",NA
"Centro Miraflores - indig",NA
"Cano Bachaco - indig",NA
"Rio Ame - indig",NA
"Dominico Londono Apartado - indig",NA
"Pavarando Y Amparrado Medio - indig",NA
"Nusido Comunidad Llano Rio Verde - indig",NA
"Velu Centro - indig",NA
"Guayabal De Partado - indig",NA
"Cuasbi Paldubi - indig",NA
"Rio Chajerado - indig",NA
"Santa Marta De Curiche - indig",NA
"Gegora, Quipara, Murando, Tiravenado Y Jiguado - indig",NA
"Lomamato - indig",NA
"Cananama - indig",NA
"Santa Rosa Juanambu Campo Alegre, Alpes Orientales, La Floresta Alto Coqueto. - indig",NA
"La Teofila - indig",NA
"Nuevo Horizonte - indig",NA
"La Paila Naya - indig",NA
"Chiguiro - indig",NA
"Cibariza - indig",NA
"Abejero - indig",NA
"Guarando Carrisal - indig",NA
"Narikizavi - indig",NA
"San Andres De Sotavento - indig",NA
"La Pascua - indig",NA
"Pena Blanca Rio Truando - indig",NA
"Quebrada Chicue Rio Tangui - indig",NA
"La Gaitana - indig",NA
"Chuscal Y Tuguridocito - indig",NA
"Tukunare - indig",NA
"Arrecifal - indig",NA
"Mungarado - indig",NA
"Simorna O La Venada - indig",NA
"Vegas De Segovia - indig",NA
"Guacamayas Mamiyare - indig",NA
"Altomira - indig",NA
"Refugio Del Sol - indig",NA
"Bellavista Union Pitalito - indig",NA
"Huitoto De Jirijiri - indig",NA
"Gito Dokabu - indig",NA
"Los Planes - indig",NA
"El Porvenir Kananguchal - indig",NA
"Bernardino Panchi - indig",NA
"Patio Bonito - indig",NA
"Buchado Amparrado - indig",NA
"Muisca De Fonqueta Y Cerca De Piedra - indig",NA
"El Portal - indig",NA
"Rio Orpua - indig",NA
"Santa Rosita - indig",NA
"La Flecha Altozano - indig",NA
"Rio Dagua - indig",NA
"Quebrada Grande - indig",NA
"Julieros Y Velasqueros - indig",NA
"Rio Bebara - indig",NA
"Katio - indig",NA
"Puerto Nare - indig",NA
"San Miguel (De Coyaima) - indig",NA
"Bocana De Luzon - indig",NA
"El Porvenir La Barrialosa - indig",NA
"Egua Guariacana - indig",NA
"Maguare - indig",NA
"San Joaquin - indig",NA
"Cusumbe  -  Agua Blanca - indig",NA
"Salaqui Pavarando - indig",NA
"Gualcala - indig",NA
"La Italia - indig",NA
"Totoro - indig",NA
"Resguardo Indigena Andoke de AdIndigena Andoke Del Paraje De Aducheuche - indig",NA
"Resguardo Indigena Puerto Samaria - indig",NA
"Resguardo Indigena La Chinita - indig",NA
"Sabaleta - indig",NA
"Santa Maria El Charcon - indig",NA
"Awa De Caicedonia - indig",NA
"La Paya - indig",NA
"La Playa - indig",NA
"Dachi Drua Chami - indig",NA
"Genareros ( La Esperanza, La Fortaleza Y El Totumo) - indig",NA
"Natacoy Pijao - indig",NA
"Yaberarado (Abibe Chigorodo) - indig",NA
"Matecandela - indig",NA
"Palermo - indig",NA
"Paletara - indig",NA
"Parte Alta Del Rio Guainia - indig",NA
"Tiosilidio - indig",NA
"Alto Cartagena - indig",NA
"Tortugana,Telembi, Punde, Pitadero, Bravo, Tronqueria, Zabaleta - indig",NA
"Recinto Palmarosa - indig",NA
"Rincon Velu - indig",NA
"Piedra Sagrada - indig",NA
"Cachivera Del Nare - indig",NA
"Dearade Biakirude - indig",NA
"Cuiloto Ii - indig",NA
"Los Iguanitos - indig",NA
"Campo Alegre - indig",NA
"Pickwe Ikh - indig",NA
"Guadual, Cumbas, Magui, Invina, Arrayan - indig",NA
"Honda Rio Guiza - indig",NA
"Wayuu Rodeito  -  El Pozo - indig",NA
"San Juan De Los Parentes - indig",NA
"Catalaura / Motilon Bari - indig",NA
"Caranacoa Yuri Laguna Morocoto - indig",NA
"Kamentsa Biya De Sibundoy - indig",NA
"Cuambi Yaslambi - indig",NA
"Canon Del San Quinini - indig",NA
"Okochi - indig",NA
"Bajo Caceres - indig",NA
"Miasa De Partado - indig",NA
"Paez Corinto Lopez Adentro - indig",NA
"Rincon Bodega - indig",NA
"Gorgonia - indig",NA
"Inga De Aponte - indig",NA
"Ondas Del Cafre - indig",NA
"Rio Pangui - indig",NA
"Comunidad Indigena Guahibo De Waco/O De Los Caserios De Corocito,Yopalito,Wacoyo - indig",NA
"Comunidad Indigena Nasa Paez De Musse Ukwe - indig",NA
"Quebrada Quera - indig",NA
"Charco Caiman - indig",NA
"Marcelino Tascon (La Maria) - indig",NA
"Parreros - indig",NA
"La Argelia - indig",NA
"Tierra Alta - indig",NA
"Rios Valle Y Boro Boro - indig",NA
"Hurtado Y Tegavera - indig",NA
"Villa Nueva Juna - indig",NA
"Puerto Antioquia - indig",NA
"Puerto Viejo Y Puerto Esperanza - indig",NA
"Karabidrua - indig",NA
"La Tutira Bonanza - indig",NA
"Comunidad Saliva - indig",NA
"Agua Negra (De Milan) - indig",NA
"Cecilia Cocha - indig",NA
"Bateas - indig",NA
"La Floresta Sta Rosa San Francisco - indig",NA
"Jacome - indig",NA
"Chenche Buenavista - indig",NA
"Awa Nambi Piedra Verde - indig",NA
"La Florida - indig",NA
"Alto Orito - indig",NA
"El Dieciocho - indig",NA
"Nulpe Medio Alto Rio San Juan - indig",NA
"Chimborazo - indig",NA
"Cano Guaripa - indig",NA
"Rio Icho Y Quebrada Baratuo - indig",NA
"Pocharco - indig",NA
"Chagpien Tordo - indig",NA
"Bajo Grande - indig",NA
"Cualquer Integrado La Milagrosa - indig",NA
"Inga De Colon - indig",NA
"La Comunidad Indigena Embera - Chami Drua Do - indig",NA
"Chaquira - indig",NA
"Gran Rosario - indig",NA
"Puyeros - indig",NA
"Alto Lorenzo - indig",NA
"Rios Jurubida, Chori Y Alto Baudo - indig",NA
"Resguardo Indigena Siona De Bajo Casacunte - indig",NA
"Provincial - indig",NA
"Loma De Citabara, Palestina, Atarralla Y La Albania - indig",NA
"Rio Nuqui - indig",NA
"Tagual La Po - indig",NA
"Puerto Monfort - indig",NA
"Witack Kiwe - indig",NA
"Chenche Media Luna - indig",NA
"Perancho - indig",NA
"San Antonio De Calarma - indig",NA
"Rio Atabapo E Inirida - indig",NA
"San Agustin (Del Huila) - indig",NA
"Los Angeles - indig",NA
"Campo Alegre Y Ripialito - indig",NA
"San Diego - indig",NA
"Barrancon - indig",NA
"Albania - indig",NA
"Rios Pato Y Jengado - indig",NA
"Pialapi  -  Pueblo Viejo  -  San Miguel  -  Yare - indig",NA
"Vuelta Del Rio - indig",NA
"Chenche Amayarco - indig",NA
"Pacande - indig",NA
"Inda Zabaleta - indig",NA
"Chololobo Matatu - indig",NA
"Jengado Apartado - indig",NA
"La Mirla - indig",NA
"Tama Del Caguan - indig",NA
"El Saladillo - indig",NA
"Tumburao - indig",NA
"San Lorenzo - indig",NA
"La Iguana - indig",NA
"Napipi - indig",NA
"Villa Catalina De Puerto Rosario - indig",NA
"Anacarco - indig",NA
"San Jose De Lipa O Cano Colorado - indig",NA
"Nunalbi Alto Ulbi - indig",NA
"Las Playas - indig",NA
"Pueblo Nuevo - indig",NA
"Bochoroma Bochoromacito - indig",NA
"Resguardo Indigena Campoalegre - indig",NA
"Nussi Purru - indig",NA
